speed_kph,vehicle_count,traffic_density,road_occupancy,average_delay_sec,traffic_flow,queue_length,acceleration,weather_condition,time_period,road_type,incident_status,signal_timing,environment_type,congestion_level
58,220,0.41,0.28,18,980,12,0.8,Clear,Morning,Highway,None,Adaptive,Urban,Free-flow
49,290,0.53,0.36,26,1200,18,0.6,Clear,Evening,Urban,None,Adaptive,Suburban,Moderate
36,420,0.74,0.52,42,1710,31,0.3,Rainy,Morning,Main Road,Accident,Fixed,Urban,Heavy
20,540,0.92,0.74,81,2450,67,-0.2,Storm,Night,Highway,Accident,Adaptive,Urban,Gridlock
61,180,0.33,0.22,12,760,9,1.0,Clear,Off-Peak,Highway,None,Adaptive,Rural,Free-flow
52,260,0.49,0.34,24,1100,15,0.7,Foggy,Evening,Main Road,None,Fixed,Urban,Moderate
40,390,0.69,0.48,37,1650,29,0.4,Rainy,Morning,Urban,None,Adaptive,Suburban,Heavy
25,510,0.88,0.68,76,2210,57,-0.1,Storm,Night,Main Road,Accident,Fixed,Urban,Gridlock
62,170,0.31,0.21,11,710,8,1.1,Clear,Off-Peak,Rural,None,Adaptive,Rural,Free-flow
54,245,0.46,0.33,21,1040,14,0.8,Clear,Evening,Highway,None,Adaptive,Urban,Moderate
39,410,0.72,0.51,39,1720,32,0.3,Rainy,Afternoon,Urban,None,Fixed,Suburban,Heavy
22,560,0.96,0.78,85,2510,70,-0.3,Storm,Night,Main Road,Accident,Adaptive,Urban,Gridlock
60,200,0.38,0.26,16,840,10,0.9,Clear,Off-Peak,Highway,None,Adaptive,Rural,Free-flow
50,275,0.51,0.35,28,1180,17,0.7,Foggy,Evening,Urban,None,Fixed,Suburban,Moderate
41,400,0.71,0.49,35,1680,28,0.5,Rainy,Morning,Main Road,None,Adaptive,Urban,Heavy
24,530,0.91,0.72,78,2380,62,-0.2,Storm,Afternoon,Highway,Accident,Adaptive,Urban,Gridlock
57,230,0.43,0.29,17,930,11,0.8,Clear,Off-Peak,Highway,None,Adaptive,Rural,Free-flow
46,310,0.58,0.39,30,1280,20,0.5,Clear,Evening,Urban,None,Fixed,Suburban,Moderate
34,440,0.77,0.56,46,1820,34,0.2,Rainy,Morning,Main Road,None,Adaptive,Urban,Heavy
21,550,0.94,0.76,83,2480,68,-0.2,Storm,Night,Highway,Accident,Fixed,Urban,Gridlock
63,160,0.30,0.20,10,690,7,1.2,Clear,Off-Peak,Rural,None,Adaptive,Rural,Free-flow
55,240,0.44,0.31,22,1050,15,0.8,Clear,Evening,Highway,None,Adaptive,Urban,Moderate
38,430,0.75,0.54,41,1760,30,0.3,Rainy,Afternoon,Urban,None,Fixed,Suburban,Heavy
26,520,0.90,0.70,74,2320,60,-0.1,Storm,Night,Main Road,Accident,Adaptive,Urban,Gridlock
59,210,0.37,0.24,15,880,10,0.9,Clear,Off-Peak,Urban,None,Adaptive,Rural,Free-flow
48,300,0.55,0.38,29,1240,19,0.6,Clear,Evening,Main Road,None,Fixed,Suburban,Moderate
35,450,0.79,0.58,47,1860,37,0.2,Rainy,Afternoon,Urban,None,Adaptive,Urban,Heavy
23,535,0.93,0.74,80,2430,65,-0.2,Storm,Night,Highway,Accident,Fixed,Urban,Gridlock
61,190,0.35,0.23,13,760,9,1.0,Clear,Off-Peak,Rural,None,Adaptive,Rural,Free-flow
51,268,0.50,0.34,25,1120,16,0.7,Foggy,Evening,Urban,None,Adaptive,Suburban,Moderate
42,398,0.70,0.49,34,1670,27,0.4,Rainy,Morning,Main Road,None,Fixed,Urban,Heavy
24,528,0.92,0.73,79,2400,64,-0.1,Storm,Night,Main Road,Accident,Adaptive,Urban,Gridlock
62,177,0.32,0.22,11,720,8,1.1,Clear,Off-Peak,Highway,None,Adaptive,Rural,Free-flow
54,249,0.47,0.32,21,1070,14,0.8,Clear,Evening,Urban,None,Adaptive,Suburban,Moderate
37,437,0.76,0.55,43,1780,33,0.2,Rainy,Afternoon,Main Road,None,Fixed,Urban,Heavy
27,515,0.89,0.69,75,2350,61,-0.1,Storm,Night,Highway,Accident,Adaptive,Urban,Gridlock
58,220,0.41,0.28,18,980,12,0.8,Clear,Morning,Highway,None,Adaptive,Urban,Free-flow
49,290,0.53,0.36,26,1200,18,0.6,Clear,Evening,Urban,None,Adaptive,Suburban,Moderate
36,420,0.74,0.52,42,1710,31,0.3,Rainy,Morning,Main Road,Accident,Fixed,Urban,Heavy
20,540,0.92,0.74,81,2450,67,-0.2,Storm,Night,Highway,Accident,Adaptive,Urban,Gridlock
61,180,0.33,0.22,12,760,9,1.0,Clear,Off-Peak,Highway,None,Adaptive,Rural,Free-flow
52,260,0.49,0.34,24,1100,15,0.7,Foggy,Evening,Main Road,None,Fixed,Urban,Moderate
40,390,0.69,0.48,37,1650,29,0.4,Rainy,Morning,Urban,None,Adaptive,Suburban,Heavy
25,510,0.88,0.68,76,2210,57,-0.1,Storm,Night,Main Road,Accident,Fixed,Urban,Gridlock
62,170,0.31,0.21,11,710,8,1.1,Clear,Off-Peak,Rural,None,Adaptive,Rural,Free-flow
54,245,0.46,0.33,21,1040,14,0.8,Clear,Evening,Highway,None,Adaptive,Urban,Moderate
39,410,0.72,0.51,39,1720,32,0.3,Rainy,Afternoon,Urban,None,Fixed,Suburban,Heavy
22,560,0.96,0.78,85,2510,70,-0.3,Storm,Night,Main Road,Accident,Adaptive,Urban,Gridlock
